2.200	Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.	In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.
4	Kyle Stanley Gained from Pain of Squandered Lead at Torrey Pins: Kyle Stanley this week is back at Torrey Pines,...	Kyle Stanley Gained from Pain of Squandered Lead at Torrey Pines
2.2	Scarcity and Financial Decision-Making.	Hanging On: In Debt, and Digging Deeper to Find Relief
3.6	Holy crap! :( "2 killed as helicopter crashes into crane in central London"	Helicopter crashes in London rush hour
3.2	U.S. single-malt #whiskey has arrived	American Single-Malt Whiskeys Serve Notice
3	Allergy-bullying? Apparently this is a real problem.	Allergy bullying: When food is a weapon
3.6	World awaits Oprah's Armstrong interview not me I'm not watching	World awaits Oprah's Lance Armstrong interview - but will it change anything?
0	Homicide #2 cause of death in 15-24-yr-olds in US- 4 out of 5 of these deaths from guns	America flunks its health exam
1.8	A Library doll is loaned out to children:	A Doll's Magic, Free to Renew
4.4	Senate holds key to fixing Washington -   thanks for that insight Ari #p2 #tcot	Senate key to fixing Washington
3	#Cuba restricts travel for 'skilled' people	Cuba limits travel for athletes, workers
4	what is driving our growth in government spending #facts	What Is Driving Growth in Government Spending?
3.8	It's a start! Kudos to this kid!!! PepsiCo Will Halt Use of Additive in Gatorade	Gatorade Listens to a Teen And Changes Its Formula
0.4	Obama-backed gun bills a long shot. "This is ONE issue that me and the president happen to agree on."	Reform is a long shot in current Congress
3.6	Beyond the media's coverage of her emotions, #Clinton put out good info: Five things we learned from Benghazi hearings	5 things we learned from Benghazi hearings
4.2	2#France: We're not the pacifists you think	Why France is not pacifist nation
3	Change the rules = Prez Romney: “: Electoral College Changes Would Pose Danger 4 Democrats ”	FiveThirtyEight: Electoral College Changes Would Pose Danger for Democrats
0.6	As Seen on TV! ~ Black and Famous but Out to Pasture	Critic?s Notebook: ?Real Husbands of Hollywood? and Lack of Black Male Leads
2	: Report: 650 hostages freed by Algeria forces	Fear, confusion in Algerian hostage crisis
4.2	Pray they'll stay together for the right reasons - Kobe Bryant, wife calling off divorce -	Kobe Bryant and wife call off divorce
4.2	Harrowing stories: Broken limbs, torn lives in northern #Mali	Broken limbs, torn lives in Mali
4.8	#NHL Players Begin Voting on Labor Deal; Approval Expected by Saturday  #ABASAL #Antitrust	Slap Shot: N.H.L. Players Begin Voting on Labor Deal; Approval Expected by Saturday
1	Over 50, and Under No Illusions  Over 50? Invent yourself everyday!	How 5 Older Workers Saw a Chance to Remake Their Careers
0.6	The power of user reviews - wielded for good or evil? NYTimes: Swarming a Book Online	A Casualty on the Battlefield of Amazon?s Partisan Book Reviews
4.6	Cool stuff: 6 trends we saw at CES 2013 -	6 trends from CES 2013
3.6	At least 233 dead in Brazilian nightclub fire. :(	Hundreds killed in Brazil nightclub fire
3.8	So sad news : 245 people killed in Brazil nightclub fire.	Hundreds killed in Brazil nightclub fire
2	Ouch, possibly? “: NYTimes: Japan’s Business Culture Hovers Over Boeing’s Battery Choice ”	Common Sense: Selection of the Boeing 787?s Battery Maker Raises Questions
3.4	What a loss of a great & inspirational mind! Internet Activist, a Creator of RSS, Is Dead at 26, Apparently a Suicide	Aaron Swartz, Internet Activist, Dies at 26
3	It's Jail Time, Charlie Brown	Good grief! Charlie Brown actor charged
4.2	At long last, the truth... Armstrong Admits Doping, and Says He Will Testify	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
4.2	I am calling BS!!! NYTimes: Morsi Says His Slurs of Jews Were Taken Out of Context	Morsi Says Slurs of Jews Were Taken Out of Context
1.2	If you're a skier or snow-boarder, you'll dig these: On Snowy Slopes, Fingers Glide Down the Touch Screen.	App Smart: Apps Helps Skiers Get More Out of the Slopes - App Smart
2.4	David Gergen says Obama's 2nd inaugural will deepen division.  #Didn'tSeeItComing	Was Obama's historic speech divisive?
3	Please Read: 's  piece on the gruesome toll of deadly cluster bombs in #Syria:	Gruesome toll of cluster bombs
3.6	#CSIS388_Dave Facebook disrupting online dating	How Facebook's Graph Search could disrupt online dating
4.2	U.S. steps up involvement in Mallpp#pppj##p#pl###p###p	U.S. steps up involvement in Mali
1.8	I Went After Guns. Obama Can, Too.  One of the only things I would agree with Howard on.	Op-Ed Contributor: Australia Banned Assault Weapons. America Can, Too.
3.4	So Wang Lijun did build a surveillance network. - Chinese Party and Business Officials Fired in Sex Scandal	Chinese Officials Fired Over Sex Scandal
4	NYTimes: She’s (Rarely) the Boss smart, as usual	Op-Ed Columnist: She?s (Rarely) the Boss
3.4	Wow": At least 245 killed in Brazil nightclub fire Update: "	Hundreds killed in Brazil nightclub fire
4.6	Hot #Luxury news: Japanese airlines suspend Dreamliner flights after emergency land? , see more	Japanese airlines suspend Dreamliner flights after emergency landing
0	Everyone should read 's CNN column from today:	America's gun problem is not a race problem
4	#BREAKING: #Police clash with #protesters calling for dissolution of #Pakistan's government -	Police, protesters clash in Pakistan
1.2	Mubarak goes to jail	Egypt's Hosni Mubarak faces retrial
3.6	Honestly where are people's rights being ruined in Obama?s Gun Control Proposal	What?s in Obama?s Gun Control Proposal
4.2	This is odd! tsk! - Catholic hospital argues fetus not a person	Catholic hospital's lawyers argue fetus not a person
2	Great to have  in the Press Pool to discuss his piece on the President's push for gun control.	Biden Meets With House Democrats on Gun-Violence Proposals
3.2	The classic American fame and blame game. The Point of Lance	Op-Ed Columnist: The Point of Lance Armstrong
2.4	#Djokovic sets sights on #Paris party	Djokovic: 3 Aussie wins in a row
4	#Pakistan’s Premier Intervenes in Fire Inquiry	Pakistan?s Ashraf Intervenes in Fatal Fire Investigation
4.4	Kinship care & siblings: After #FosterCare Yrs, a Woman Becomes a Role Model for Her Sisters	The Neediest Cases: After Foster Care, Becoming a Role Model for Her Sisters
0	Looks like we could get something right	GOP balks at gun control proposals
4	You should read this: The Lifting of a Veil, Discreetly	The TV Watch: Jodie Foster Lifts a Veil at Golden Globes
3.2	Interesting Piece! Being Bin Laden  #films #zerodarkthirty	Op-Ed Contributor: I Played Osama bin Laden in ?Zero Dark Thirty?
4.2	U ds boi ehn": Piers slams guest over AR-15s "	Piers, guest clash over AR-15s
4.8	Bad tweet (news) of the day": For Rape Victims in India,Police r Often Part of Problem reports "	For Rape Victims in India, Police Are Often Part of the Problem
0	These Law Enforcers Will Stop at Nothing	Movie Review: ?Gangster Squad? With Sean Penn, Ryan Gosling and Emma Stone
2.4	Populist without a backbone elected by popular vote supported by heavy media campaign #Zeman #CzechRepublic	Former Prime Minister Is Elected President of Czech Republic
4	Artley: Getting 10 million Twitter followers	How to get 10 million followers on Twitter
2.8	hmmm she's filing for bankruptcy..	Casey Anthony files for bankruptcy
4	#Mali Need Not Be France?s Afghanistan	IHT Rendezvous: Mali Need Not Be France's Afghanistan
1	War on Evil? War on Sociopaths? Banning guns sounds like it will work a lot better than that War on Drugs stuff.	Obama Gun Proposal to Look Beyond Mass Shootings
1.2	be safe. i've heard on the news about china's air pollution that is terrible	China Allows Media to Report Alarming Air Pollution Crisis
4.4	A Heroic Doctor Returns to Congo	Doctor Returns to Congo and Is Hailed as a Hero
3.6	NYTimes: D. Brainerd Holmes, a Leader in Space Race, Dies at 91	D. Brainerd Holmes, Top NASA Official, Dies at 91
3.8	179 republicans vote no ... House Approves $50.7 Billion in Emergency Aid for #Sandy Victims	House Approves $50.7 Billion in Emergency Aid for Storm Victims
1	Nobel-winning economist on why we should care about #climate change.	On the Non-equivalence of Greenhouse Gases and Entitlement Spending
4.4	NYT Most Emailed: Pentagon Set to Lift Ban on Women in Combat Roles: The groundbreaking decision overturns a 199...	Pentagon Lifting Ban on Women in Combat
3	It is laughable to believe the whole story, they never met? Image Becomes a Puzzle as Theories on Te?o Swirl	Image of Manti Te?o Becomes Puzzle as Theories Swirl
3.6	Who'd have thought an American hero could be a Canadian? NYT: Man Who Sheltered Americans in Tehran, Dies at 88	John Sheardown, Canadian Who Sheltered Americans in Tehran, Dies at 88
4.4	'Vampire Diaries' spinoff coming to The CW, it's based in Nola!	'Vampire Diaries' spinoff pilot coming to The CW
3.6	Poor creature MT  Amid 2d-guessing, marine rescuers decide not to remove stricken dolphin from Gowanus Canal.	The Hard Decision Not to Rescue an Ailing Dolphin
0.8	CNN: Egypt clashes: A stern Egyptian court ruling tied to a soccer riot spurred clashes that left at least 30 pe...	Egypt deploys troops to Suez to quell 'out of control' clashes
4	lance armstrong quotes, pure gold	Lance's classic quotes
5	Gas prices creep up a bit	Gas prices tick up slightly
3.8	Indian Star (Sania Mirza) Tells of Life and Marriage in Media Fishbowl	Straight Sets: Indian Star Tells of Life and Marriage in Media Fishbowl
0.8	Parent is defined as a point of origin. I'm not done being the best parent I can be for Ben. Not by a very long measure	Families of Newtown School Massacre Victims Organize Against Gun Violence
3.4	New #Facebook changes afoot - not to your profile (phew!) - rather a new feature, #GraphSearch.	Facebook introduces 'Graph Search'
4	Parsing What Jodie Foster Did (and Didn't) Say  Gotta be honest: I had not idea what she was saying. #goldenglobes	The Carpetbagger: Parsing What Jodie Foster Did (and Didn't Say)
3.4	Aaron Swartz, Internet Activist and a Creator of RSS, Is Dead at 26, Apparently a Suicide.	Aaron Swartz, Internet Activist, Dies at 26
4.6	MT : NY Health Chief Defends Decision Not to Evacuate Hospitals  \\ the importance of disaster OM	New York Health Chief Defends Decision Not to Evacuate Hospitals
0	a case when you might want to take someone else's shit...	Disgusting, Maybe, but Treatment Works, Study Finds
3.2	Good article on the economics & culture that fuels pro cycling. NYTimes: Looking Upstream in Doping Cases	Critics Take a Look Upstream in Doping Scandals
4.4	#Wal-Mart Plans to Hire Any #Veteran Who Wants a #Job	Wal-Mart to Announce Extensive Plan to Hire Veterans
3.4	awful way to go out...": At least 220 killed in Brazil nightclub fire "	Hundreds killed in Brazil nightclub fire
4.4	The importance of taking a day off	The importance of a 'stop day'
2	Care of the Elderly: the opportunity of food is more than meals on wheels.	Study: More to Meal Delivery Than Food
3.6	NYTimes: Talking, Walking Objects (this is a fantasy world for geeky me)	Opinion: Our Talking, Walking Objects
4	I think a bunch of UCI suits need to change their pants NYTimes: Armstrong Admits Doping, and Says He Will Testify	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
4.2	What a dope(r)... NYTimes: Armstrong Admits Doping, and Says He Will Testify	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
4.2	'Million Man March' Threatens #Pakistan Capital - CNN,	'Million Man March' promises to paralyze Pakistani capital
0.2	This is gonna be fantastic for entertainment:	?South Park? Creators to Start Company, Important Studios
4.2	": Voice of Charlie Brown arrested, charged. " Please tell me he said good grief...	Good grief! Charlie Brown actor charged
3	, is this anti-free speech new French law about Twitter must identify racist, anti-Semitic posters,  via	French court: Twitter must identify racist users
4.6	Flu season is here, let's clear something up: "Do I Need a Flu Shot if I?ve Had the Flu?"	Ask Well: Do I Need a Flu Shot if I've Had the Flu?
5	Kobe Bryant, wife say they are calling off #divorce -	Kobe Bryant and wife call off divorce
1.6	Inspiring article by Chelsea Clinton about volunteering this Saturday - National Day of Service	Clinton: We can make a difference
3	Did you read the  #Opinionator the relationship between parents & teachers? Liza Lee was interviewed.  #edchat	Opinionator | Schooling: The Dicey Parent-Teacher Duet
2	MT  Design Now Rivals Technology in Importance	Disruptions: Disruptions: Design Is Driving Technology Forward
3.8	uhhhh 10 reasons we can't get enough Gosling yummie	Why we can't get enough Gosling (Duh!)
4.6	Java vulnerability due to incomplete patch (from )	Critical Java vulnerability due to incomplete earlier patch
2.2	NYTimes: GREAT OBIT on Dear Abby.	Pauline Phillips, Flinty Adviser to Millions as Dear Abby, Dies at 94
2.8	Robots making US more competitive in manufacturing:	Robot Makers Spread Global Gospel of Automation
4	Florida's Burmese Python issue leads to snake killing contest. - ...	Florida tackling python problem with hunting contest
4.4	Homicide Tracking Site Expanding to #Chicago  Love it. Great call & Congrats	Media Decoder Blog: Homicide Tracking Site Expanding to Chicago
3.4	180! “: At least 90 killed in Brazil nightclub fire ”	Hundreds killed in Brazil nightclub fire
4	Are you better off "playing for a tie" in #investing:	Strategies: In Investing, at Least, It Makes Sense to Play for a Tie
4.2	Boost Your Flu Shot Response With Exercise	Exercise Can Boost Flu Shot's Potency
4	For Obama?s New Term, Start Here - Nick Kristof for NYT	Op-Ed Columnist: For Obama?s Second Term, Start Here
3.4	Worst nightmare! ": At least 245 killed in Brazil nightclub fire Update: "	Hundreds killed in Brazil nightclub fire
4.4	Anyone tried this?? Amazon giving you free MP3s your CDs	Amazon giving you free MP3s of your CDs
